市区町村コード,市区町村人口密度
0,6662.9
1000,4953.9
1100,7993.8
1101,10660.3
1102,7576.5
1103,8039.5
1104,8659
1105,10328.6
1106,5806.7
1107,8607.2
1108,7398.9
1109,6315.1
1110,5890.5
1202,4960.8
1203,3970.1
1204,3754.4
1205,2491.4
1206,3688.2
1207,3425.2
1208,3829
1210,3475.4
1211,2920.3
1212,2938.7
1213,4101.6
1214,3464.8
1215,2975.7
1216,2603.9
1217,4495.8
1219,2717.5
1220,2867.9
1221,3089.6
1223,3012.3
1224,2470.7
1225,2937.9
1226,1747.6
1228,2897.6
1229,3731.3
1230,4003.5
1231,3715.8
1233,4118.5
1234,4220.2
1235,5577.7
1236,3822.3
1303,3376.4
1337,4735.6
1346,2856.7
1400,3600.4
1402,2851.1
1408,3011.2
1429,3445.2
1460,2757.2
1543,2801.1
1555,3102.4
1610,3228.7
1631,4044.8
1637,2811.1
1643,4253.7
1661,3980.9
1692,2895.6
2000,3587.1
2201,5183.8
2202,4348.6
2203,3130.7
2204,3319.4
2205,2922.1
2206,3245.2
2207,1025.2
2208,3115.1
3000,4508.3
3201,5247.4
3202,3511.7
3205,3168.5
3206,4129.7
3207,2488.3
3209,3213.2
3211,2841.5
3215,3760.2
3216,5977.1
3322,4435.5
4000,5653.3
4100,6687.5
4101,7795.1
4102,5377.3
4103,7106
4104,7149.5
4105,6111.4
4202,4035.9
4203,4229.3
4205,3574.1
4206,2899.5
4207,5007.4
4208,2996.9
4209,4553.3
4211,4504.9
4212,2784.4
4214,4974.9
4215,4539.2
4216,5298.8
4321,3808.7
4323,4341.8
4361,3709.2
4401,3622
4404,5664.3
4406,4357.2
4421,4495.7
5000,4054.5
5201,4477.9
5202,3215.8
5203,2865.7
5204,3015.4
5207,3213.7
5210,3818.7
5212,3573.4
6000,3799.7
6201,5011.7
6202,3156.9
6203,3800.7
6204,3368.1
6205,3498.4
6206,2937.3
6207,3622
6208,3191.7
6209,2681.4
6210,3508.8
6211,2436.5
6213,3800
6301,3599.5
6321,3291
7000,4086.7
7201,4543.8
7202,4605.3
