iter	MAE
0	0.2584825461
1	0.249889514
2	0.2418796233
3	0.2343695672
4	0.2274138286
5	0.2207642487
6	0.2145790497
7	0.2089209449
8	0.2034758923
9	0.1984205026
10	0.1935611527
11	0.1891929445
12	0.1847982105
13	0.1807743371
14	0.177030086
15	0.1736284206
16	0.1703440865
17	0.1672108548
18	0.1643464121
19	0.1615816124
20	0.158956221
21	0.1566031552
22	0.1543211495
23	0.1521812355
24	0.1500825121
25	0.1480300084
26	0.1462770675
27	0.1445008808
28	0.1428975633
29	0.1412186731
30	0.1396461773
31	0.1381360953
32	0.1367502467
33	0.1354015914
34	0.134186238
35	0.1329633519
36	0.1318374037
37	0.1308397597
38	0.1298358053
39	0.1289307976
40	0.1279466371
41	0.1270653004
42	0.1262095011
43	0.1254335738
44	0.1247959074
45	0.1240076157
46	0.1234056741
47	0.1227941448
48	0.1222324964
49	0.1216641673
50	0.1210805331
51	0.1204983469
52	0.1199713172
53	0.1194504473
54	0.1188570181
55	0.1183581767
56	0.117899717
57	0.1174919424
58	0.1170933654
59	0.1166653929
60	0.1162679221
61	0.1159166702
62	0.1155590825
63	0.1152117873
64	0.1146813048
65	0.1142933216
66	0.1140071621
67	0.113598331
68	0.113295235
69	0.1130054816
70	0.1127049124
71	0.1124332007
72	0.1121083917
73	0.1118590023
74	0.1116057904
75	0.1112969538
76	0.1110932908
77	0.1108384671
78	0.1106076392
79	0.1104246279
80	0.1102177291
81	0.1099783861
82	0.1097930484
83	0.1095992864
84	0.1093536518
85	0.1091950545
86	0.1089912586
87	0.1088176994
88	0.1086438755
89	0.10849071
90	0.1083411631
91	0.1081359302
92	0.1079767912
93	0.1078350574
94	0.1076279777
95	0.1074494602
96	0.1072332692
97	0.1071111371
98	0.1070004168
99	0.1068622352
100	0.1067642694
101	0.1066246597
102	0.1064822764
103	0.1063638877
104	0.1062543574
105	0.1061394915
106	0.1060063887
107	0.1059134732
108	0.1058313515
109	0.105705871
110	0.1055944787
111	0.1054785199
112	0.1053543496
113	0.1052668053
114	0.1051618935
115	0.1050849963
116	0.104987985
117	0.104879073
118	0.1047838674
119	0.1046634983
120	0.1045570084
121	0.1044696729
122	0.1043661327
123	0.1042594319
124	0.1041723697
125	0.1041051437
126	0.1040225217
127	0.1039183567
128	0.103822523
129	0.1037286356
130	0.103637108
131	0.1035297215
132	0.1034255139
133	0.1033608422
134	0.1032750635
135	0.1031835254
136	0.1031304306
137	0.1030595025
138	0.1029578185
139	0.1028798644
140	0.1028292378
141	0.1027485773
142	0.1026775663
143	0.1025864682
