iter	Passed	Remaining
0	521	520566
1	941	470040
2	1279	425344
3	1700	423385
4	2070	411968
5	2438	404024
6	2790	395876
7	3075	381324
8	3482	383451
9	3835	379675
10	4119	370366
11	4480	368879
12	4834	367075
13	5197	366078
14	5538	363662
15	5922	364239
16	6256	361775
17	6587	359369
18	6896	356094
19	7226	354113
20	7501	349726
21	7798	346680
22	8133	345476
23	8461	344119
24	8846	345011
25	9160	343162
26	9521	343112
27	9857	342193
28	10226	342418
29	10556	341330
30	10891	340444
31	11239	340006
32	11537	338084
33	11816	335724
34	12088	333296
35	12383	331600
36	12662	329562
37	12939	327576
38	13260	326757
39	13522	324537
40	13797	322722
41	14078	321127
42	14356	319525
43	14661	318555
44	14926	316778
45	15199	315220
46	15461	313505
47	15712	311630
48	16013	310801
49	16285	309417
50	16555	308067
51	16824	306732
52	17091	305395
53	17380	304482
54	17677	303734
55	17922	302118
56	18216	301371
57	18515	300710
58	18753	299106
59	19080	298926
60	19362	298061
61	19619	296821
62	19903	296020
63	20132	294431
64	20438	294002
65	20698	292910
66	20948	291713
67	21271	291543
68	21544	290688
69	21826	289978
70	22068	288754
71	22268	287020
72	22487	285565
73	22721	284328
74	22945	282989
75	23178	281798
76	23397	280468
77	23633	279359
78	23855	278109
79	24072	276839
80	24323	275963
81	24571	275085
82	24794	273932
83	25028	272929
84	25294	272289
85	25536	271396
86	25759	270323
87	25994	269397
88	26214	268328
89	26445	267389
90	26694	266654
91	26935	265841
92	27165	264941
93	27382	263917
94	27621	263133
95	27854	262298
96	28092	261520
97	28325	260709
98	28565	259974
99	28783	259050
100	29009	258212
101	29226	257311
102	29477	256709
103	29702	255899
104	29949	255285
105	30182	254561
106	30427	253938
107	30680	253401
108	30911	252676
109	31185	252319
110	31405	251528
111	31655	250982
112	31882	250261
113	32122	249650
114	32334	248833
115	32612	248528
116	32833	247794
117	33053	247058
118	33308	246595
119	33546	246010
120	33808	245602
121	34043	245004
122	34264	244309
123	34493	243678
124	34762	243336
125	34976	242617
126	35211	242046
127	35441	241444
128	35687	240960
129	35924	240415
130	36153	239824
131	36414	239455
132	36649	238911
133	36884	238370
134	37138	237963
135	37380	237474
136	37615	236952
137	37887	236659
138	38118	236114
139	38351	235588
140	38595	235130
141	38843	234701
142	39097	234312
143	39330	233798
144	39557	233251
145	39790	232744
146	40055	232433
147	40300	232001
148	40556	231635
149	40811	231263
150	41054	230829
151	41284	230323
152	41492	229698
153	41734	229266
154	41952	228706
155	42187	228244
156	42469	228036
157	42716	227640
158	42951	227181
159	43195	226776
160	43457	226467
161	43677	225935
162	43914	225500
163	44156	225091
164	44379	224587
165	44641	224284
166	44915	224038
167	45201	223854
168	45456	223515
169	45708	223166
170	45980	222911
171	46249	222640
172	46491	222244
173	46742	221890
174	46974	221449
175	47205	221008
176	47439	220578
177	47701	220282
178	47915	219768
179	48130	219261
180	48387	218945
181	48613	218491
182	48842	218058
183	49092	217714
184	49303	217202
185	49534	216779
186	49774	216399
187	49990	215917
188	50228	215528
189	50458	215112
190	50693	214717
191	50926	214316
192	51162	213929
193	51424	213650
194	51678	213337
195	51936	213047
196	52159	212608
197	52437	212397
198	52665	211983
199	52920	211682
200	53151	211284
201	53417	211026
202	53660	210676
203	53908	210347
204	54147	209986
205	54344	209462
206	54559	209012
207	54788	208618
208	54999	208154
209	55228	207763
210	55463	207395
211	55718	207106
212	55945	206711
213	56167	206295
214	56392	205897
215	56617	205499
216	56891	205281
217	57150	205008
218	57420	204772
219	57701	204578
220	57977	204363
221	58287	204269
222	58527	203926
223	58782	203640
224	59022	203299
225	59266	202973
226	59533	202729
227	59779	202412
228	60007	202033
229	60240	201675
230	60459	201270
231	60727	201030
232	61005	200821
233	61245	200486
234	61492	200178
235	61713	199785
236	61938	199405
237	62179	199077
238	62406	198709
239	62633	198339
240	62884	198046
241	63129	197736
242	63378	197439
243	63600	197057
244	63853	196774
245	64084	196420
246	64313	196063
247	64528	195666
248	64762	195329
249	65002	195006
250	65248	194706
251	65458	194297
252	65689	193953
253	65942	193673
254	66194	193390
255	66446	193110
256	66664	192729
257	66927	192480
258	67161	192147
259	67402	191836
260	67645	191532
261	67872	191182
262	68122	190899
263	68338	190518
264	68533	190084
265	68760	189738
266	68981	189375
267	69247	189139
268	69532	188952
269	69764	188623
270	70017	188349
271	70259	188047
272	70519	187792
273	70816	187637
274	71073	187374
275	71326	187102
276	71543	186737
277	71811	186503
278	72043	186177
279	72288	185883
280	72515	185546
281	72767	185272
282	73034	185038
283	73313	184831
284	73545	184507
285	73791	184219
286	74040	183939
287	74300	183686
288	74558	183428
289	74792	183112
290	75031	182808
291	75285	182541
292	75507	182198
293	75741	181883
294	75980	181581
295	76218	181277
296	76452	180963
297	76712	180712
298	76937	180379
299	77193	180117
300	77431	179815
301	77654	179478
302	77870	179127
303	78098	178805
304	78336	178504
305	78589	178239
306	78826	177937
307	79081	177676
308	79298	177330
309	79555	177076
310	79809	176811
311	80035	176488
312	80273	176190
313	80528	175930
314	80744	175588
315	80942	175205
316	81196	174943
317	81439	174658
318	81686	174383
319	81932	174107
320	82162	173794
321	82437	173579
322	82674	173284
323	82897	172958
324	83120	172634
325	83359	172345
