都道府県名,クラスタ_簡単版,クラスタ_件数考慮,クラスタ_階層,クラスタ_全特徴
三重県,1,0,2,1
京都府,1,0,3,1
佐賀県,2,0,2,0
兵庫県,1,0,3,1
北海道,2,1,1,1
千葉県,1,0,3,1
和歌山県,2,0,2,0
埼玉県,1,0,3,1
大分県,0,1,1,0
大阪府,1,2,3,2
奈良県,2,0,2,1
宮城県,2,0,2,1
宮崎県,0,1,1,1
富山県,2,1,2,0
山口県,2,0,2,1
山形県,2,0,2,0
山梨県,0,1,1,0
岐阜県,1,0,2,1
岡山県,2,0,2,0
岩手県,2,1,1,0
島根県,1,0,3,1
広島県,2,0,2,1
徳島県,0,1,1,0
愛媛県,0,1,1,1
愛知県,1,0,2,1
新潟県,0,1,1,0
東京都,1,2,3,2
栃木県,0,1,1,0
沖縄県,1,0,3,1
滋賀県,1,0,3,1
熊本県,0,1,1,0
石川県,0,1,1,0
神奈川県,1,2,3,2
福井県,0,1,1,1
福岡県,2,1,1,1
福島県,2,1,1,0
秋田県,0,1,1,0
群馬県,0,1,1,0
茨城県,2,1,1,1
長崎県,1,0,3,1
長野県,1,0,2,1
青森県,2,1,2,0
静岡県,0,1,1,0
香川県,0,1,1,1
高知県,2,0,2,1
鳥取県,2,0,2,1
鹿児島県,2,1,1,0
